,V1,V2
gn:T05310,ehl,Anaerobutyricum hallii EH1
gn:T05311,seny,Sodalis endosymbiont of Henestaris halophilus
gn:T05312,eth,Enterococcus thailandicus a523
gn:T05313,clk,Capnocytophaga leadbetteri H6253
gn:T05314,slx,Streptomyces lavendulae subsp. lavendulae CCM 3239
gn:T05315,rqi,Rhodococcus qingshengii djl-6-2
gn:T05316,leh,Leclercia sp. LSNIH3
gn:T05317,metn,Methanobacterium sp. MZ-A1
gn:T05318,pter,Paraburkholderia terrae DSM 17804
gn:T05319,pvn,Candidatus Planktophila vernalis MMS-IIA-15
gn:T05320,vgo,Variibacter gotjawalensis GJW-30
gn:T05321,sva,Sulfurifustis variabilis skN76
gn:T05322,acry,Arthrobacter crystallopoietes DSM 20117
gn:T05323,poi,Pseudomonas orientalis F9
gn:T05324,cir,Citrobacter sp. CFNIH10
gn:T05325,brk,Bradyrhizobium sp. SK17
gn:T05326,barr,Bartonella sp. Raccoon60
gn:T05327,aem,Aeromonas sp. CU5
gn:T05328,mete,Methanothermobacter sp. EMTCatA1
gn:T05329,ncv,Candidatus Nitrosocaldus cavascurensis SCU2
gn:T05330,scla,Spiroplasma clarkii CN-5
gn:T05331,rox,Rahnella sp. ERMR1:05
gn:T05332,vdb,Vibrio diabolicus FDAARGOS_96
gn:T05333,lni,Lelliottia nimipressuralis SGAir0187
gn:T05334,psai,Pontimonas salivibrio CL-TW6
gn:T05335,aue,Aureitalea sp. RR4-38
gn:T05336,vit,Vitreoscilla sp. C1
gn:T05337,pio,Pediococcus inopinatus DSM 20285
gn:T05338,mgg,Micropruina glycogenica Lg2
gn:T05339,deo,Desulfobulbus oralis HOT041/ORNL
gn:T05340,bmur,Peribacillus muralis G25-68
gn:T05341,lcy,Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535
gn:T05342,aid,Acinetobacter indicus SGAir0564
gn:T05343,our,Oligella urethralis FDAARGOS_329
gn:T05344,smur,Simonsiella muelleri ATCC 29453
gn:T05345,fsa,Fastidiosipila sanguinis CCUG 47711
gn:T05346,dei,Devosia sp. I507
gn:T05347,lyb,Lysinibacillus sp. B2A1
gn:T05348,paih,Paenibacillus sp. IHB B 3084
gn:T05349,laca,Lactobacillus acidipiscis ACA-DC 1533
gn:T05350,dcr,Daucus carota subsp. sativus (carrot)
gn:T05351,cpep,Cucurbita pepo subsp. pepo (vegetable marrow)
gn:T05352,lsv,Lactuca sativa (garden lettuce)
gn:T05353,ema,Escherichia marmotae HT073016
gn:T05354,pamg,Pseudomonas amygdali pv. morsprunorum R15244
gn:T05355,mdv,Mogibacterium diversum CCUG 47132
gn:T05356,phr,Phreatobacter cathodiphilus S-12
gn:T05357,thas,Rhodobacteraceae bacterium SH-1
gn:T05358,mela,Melaminivora sp. SC2-9
gn:T05359,malk,Microcella alkaliphila JAM AC0309
gn:T05360,cbae,Chitinophaga caeni 13
gn:T05361,simp,Simplicispira suum SC1-8
gn:T05362,melm,Pulveribacter suum SC2-7
gn:T05363,otk,Ottowia oryzae KADR8-3
gn:T05364,phz,Porphyrobacter sp. HT-58-2
gn:T05365,miq,Microcystis sp. MC19
gn:T05366,kit,Kitasatospora sp. MMS16-BH015
gn:T05367,grs,Gramella fulva SH35
gn:T05368,syo,Synechocystis sp. IPPAS B-1465
gn:T05369,pavl,Pseudomonas avellanae R2leaf
gn:T05370,git,Gordonia iterans Co17
gn:T05371,bzg,Bacteroides zoogleoformans ATCC 33285
gn:T05372,ptc,Candidatus Phycorickettsia trachydisci CCALA 838
gn:T05373,pset,Pseudomonas sp. TCU-HL1
gn:T05374,stro,Streptomyces sp. MOE7
gn:T05375,hag,Halomonas sp. GFAJ-1
gn:T05376,mbas,Labilibaculum antarcticum SPP2
gn:T05377,plab,Plantactinospora sp. BC1
gn:T05378,masz,Massilia armeniaca ZMN-3
gn:T05379,idt,Idiomarina sp. OT37-5b
gn:T05380,vam,Variovorax sp. PMC12
gn:T05381,tak,Thauera aromatica K172
gn:T05382,spho,Sphingopyxis sp. MG
gn:T05383,pbq,Peptostreptococcaceae bacterium oral taxon 929 W2294
gn:T05384,stem,Stenotrophomonas sp. MYb57
gn:T05385,pvo,Paenibacillus vortex V453
gn:T05386,bsaf,Bacillus safensis KCTC 12796BP
gn:T05387,plx,Planococcus sp. MB-3u-03
gn:T05388,xva,Xanthomonas vasicola pv. vasculorum SAM119
gn:T05389,cthm,Carboxydocella thermautotrophica 019
gn:T05390,dit,Dietzia sp. oral taxon 368 W5195
gn:T05391,plat,Plantactinospora sp. BB1
gn:T05392,acts,Actinoplanes sp. SE50
gn:T05393,cspu,Capnocytophaga sputigena KC1668
gn:T05394,rbh,Rhodocyclaceae bacterium Thauera-like
gn:T05395,smiz,Sphingobacterium mizutaii NCTC12149
gn:T05396,taci,Thermodesulfobium acidiphilum 3127-1
gn:T05397,diz,Dietzia sp. JS16-p6b
gn:T05398,lew,Lelliottia sp. WB101
gn:T05399,acto,Actinomyces sp. oral taxon 897 F0631
gn:T05400,smav,Shewanella marisflavi EP1
gn:T05401,skl,Staphylococcus kloosii ATCC 43959
gn:T05402,yma,Yersinia massiliensis GTA
gn:T05403,nsp,Nodularia spumigena UHCC 0039
gn:T05404,shew,Shewanella sp. WE21
gn:T05405,bhf,Bacteroides heparinolyticus F0111
gn:T05406,harc,Haloarculaceae archaeon HArcel1
gn:T05407,geh,Gemmobacter sp. HYN0069
gn:T05408,cate,Catenovulum sp. CCB-QB4
gn:T05409,myl,Mycetocola sp. 449
gn:T05410,aez,Aeromicrobium sp. 592
gn:T05411,agm,Agromyces sp. MF30-A
gn:T05412,psil,Pseudomonas silesiensis A3
gn:T05413,lalw,Lactobacillus allii WiKim39
gn:T05414,salc,Salinibacterium sp. CGMCC 1.16371
gn:T05415,fso,Candidatus Fokinia solitaria Rio ETE_ALG 3VII
gn:T05416,sfk,Streptomyces formicae KY5
gn:T05417,ebc,Enterobacteriaceae bacterium ENNIH2
gn:T05418,pgz,Mixta gaviniae DSM 22758 (Pantoea gaviniae DSM 22758)
gn:T05419,pcd,Mixta calida DSM 22759 (Pantoea calida DSM 22759)
gn:T05420,amih,Aminobacter sp. MSH1
gn:T05421,mii,Microbulbifer sp. A4B17
gn:T05422,cola,Colwellia sp. Arc7-D
gn:T05423,haf,Halomonas sp. SF2003
gn:T05424,vta,Vibrio tapetis subsp. tapetis
gn:T05425,cgrn,Cutibacterium granulosum NCTC11865
gn:T05426,vbh,Nibricoccus aquaticus HZ-65
gn:T05427,aea,Aeromonas sp. ASNIH3
gn:T05428,kso,Candidatus Kinetoplastibacterium sorsogonicusi MF-08
gn:T05429,aon,Aquabacterium olei NBRC 110486
gn:T05430,actt,Actinobaculum sp. 313
gn:T05431,ypac,Yangia pacifica YSBP01
gn:T05432,dod,Dokdonia sp. Dokd-P16
gn:T05433,ful,Fusobacterium ulcerans ATCC 49185
gn:T05434,rhq,Rhodococcus sp. p52
gn:T05435,kst,Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen
gn:T05436,nmj,Neisseria mucosa ATCC 19696
gn:T05437,dpc,Dietzia psychralcaliphila ILA-1
gn:T05438,pbf,Candidatus Promineofilum breve Cfx-K
gn:T05439,pbp,Sedimentisphaera salicampi ST-PulAB-D4
gn:T05440,zpa,Zoogloeaceae bacteirum Par-f-2
gn:T05441,bgm,Bordetella genomosp. 13 AU7206
gn:T05442,dlu,Dietzia lutea YIM 80766
gn:T05443,apor,Actinobacillus porcitonsillarum 9953L55
gn:T05444,fmo,Fusobacterium mortiferum ATCC 9817
gn:T05445,msao,Mycobacteroides saopaulense EPM10906
gn:T05446,afq,Alcaligenes faecalis JQ135
gn:T05447,salh,Saliniradius amylolyticus HMF8227
gn:T05448,mtim,Massilia oculi CCUG 43427
gn:T05449,azt,Azospirillum sp. TSH58
gn:T05450,arth,Arthrobacter sp. PGP41
gn:T05451,rhv,Rhizobium sp. S41
gn:T05452,acal,Acinetobacter calcoaceticus CA16
gn:T05453,arv,Aeromonas rivipollensis KN-Mc-11N1
gn:T05454,psez,Allopseudarcicella aquatilis HME7025
gn:T05455,lyz,Lysinibacillus sp. 2017
gn:T05456,acom,Azoarcus communis TSPY31
gn:T05457,tbm,Tenericutes bacterium MO-XQ
gn:T05458,lali,Lactobacillus alimentarius DSM 20249
gn:T05459,sfq,Staphylococcus felis ATCC 49168
gn:T05460,fgo,Fusobacterium gonidiaformans ATCC 25563
gn:T05461,metd,Methylobacterium sp. DM1
gn:T05462,rhod,Rhodococcus sp. 008
gn:T05463,baro,Bartonella sp. 1-1C
gn:T05464,psen,Pseudoalteromonas sp. NC201
gn:T05465,mter,Mycolicibacter terrae NCTC10856
gn:T05466,cbol,Enterocloster bolteae ATCC BAA-613
gn:T05467,pdag,Pasteurella dagmatis NCTC11617
gn:T05468,pamn,Paracoccus aminovorans JCM 7685
gn:T05469,acii,Acidiferrobacter sp. SPIII_3
gn:T05470,miv,Microvirga sp. 17 mud 1-3
gn:T05471,mhk,Metallosphaera hakonensis JCM 8857 = DSM 7519 HO1-1
gn:T05472,abri,Acidianus brierleyi DSM 1651
gn:T05473,plq,Psychrobacter sp. FME2 AU1044 (Pseudomonas lundensis AU1044)
gn:T05474,adv,Acinetobacter defluvii WCHA30
gn:T05475,gog,Gemmata obscuriglobus DSM 5831
gn:T05476,saln,Salinisphaera sp. LB1
gn:T05477,serm,Serratia sp. MYb239
gn:T05478,plum,Photorhabdus laumondii subsp. laumondii DSPV002N
gn:T05479,cher,Candidatus Cardinium hertigii cHgTN10
gn:T05480,aum,Aurantimicrobium sp. MWH-Mo1
gn:T05481,bum,Burkholderia sp. PAMC 26561
gn:T05482,nba,Neisseriaceae bacterium DSM 100970
gn:T05483,xba,Ahniella affigens D13
gn:T05484,cdrk,Clostridium drakei SL1
gn:T05485,phb,Phenylobacterium sp. HYN0004
gn:T05486,pvg,Proteus vulgaris FDAARGOS_366
gn:T05487,asul,Acidianus sulfidivorans JP7
gn:T05488,psyy,Psychrobacter sp. YP14
gn:T05489,lsu,Leuconostoc mesenteroides subsp. suionicum DSM 20241
gn:T05490,tbz,Tenericutes bacterium MZ-XQ
gn:T05491,lpv,Limnobaculum parvum HYN0051
gn:T05492,plg,Paucimonas lemoignei NCTC10937
gn:T05493,tpty,Tatumella ptyseos NCTC11468
gn:T05494,gmo,Gemella morbillorum NCTC11323
gn:T05495,lmb,Lysobacter maris HZ9B
gn:T05496,als,Arcticibacterium luteifluviistationis SM1504
gn:T05497,bsed,Bradymonas sediminis FA350
gn:T05498,hnv,Hymenobacter nivis NBRC 111535
gn:T05499,ccyn,Capnocytophaga cynodegmi G7591
gn:T05500,azm,Azospirillum ramasamyi M2T2B2
gn:T05501,rhk,Rhizobium sp. Kim5
gn:T05502,vbc,Victivallales bacterium CCUG 44730
gn:T05503,lri,Leminorella richardii NCTC12151
gn:T05504,metb,Methanosphaera sp. BMS
gn:T05505,spon,Flagellimonas maritima HME9304
gn:T05506,est,Echinicola strongylocentroti MEBiC08714
gn:T05507,poh,Polynucleobacter paneuropaeus MWH-Creno-4B4
gn:T05508,metx,Methylobacterium sp. XJLW
gn:T05509,phei,Providencia heimbachae NCTC12003
gn:T05510,pcre,Porphyromonas crevioricanis NCTC12858
gn:T05511,erk,Erythrobacter sp. KY5
gn:T05512,ctak,Chryseobacterium taklimakanense NCTC13490
gn:T05513,bit,Bacillus intestinalis T30
gn:T05514,rbz,Rhodobacteraceae bacterium G7
gn:T05515,ffa,Flavobacterium faecale WV33
gn:T05516,had,Helicobacter apodemus SCJK1
gn:T05517,rok,Roseovarius sp. AK1035
gn:T05518,blau,Blautia sp. N6H1-15 KCTC 15426
gn:T05519,caph,Capnocytophaga sp. H4358
gn:T05520,cie,Citrobacter sp. CRE-46 AR_0157
gn:T05521,rrt,Rhodococcus rhodochrous NCTC10210
gn:T05522,stra,Streptococcus sp. A12
gn:T05523,aasc,Acetobacter ascendens LMG 1590
gn:T05524,bot,Bradyrhizobium ottawaense OO99
gn:T05525,bana,Candidatus Bipolaricaulis anaerobius BARAN1 MAG
gn:T05526,cyo,Citrobacter youngae L6
gn:T05527,lue,Lysobacter oculi 83-4
gn:T05528,masy,Massilia sp. YMA4
gn:T05529,csto,Capnocytophaga stomatis H2177
gn:T05530,dez,Deinococcus irradiatisoli 17bor-2
gn:T05531,sphu,Uncultured Sphingopyxis sp. UC10
gn:T05532,boz,Bordetella sp. HZ20
gn:T05533,cavi,Campylobacter avium LMG 24591
gn:T05534,mlp,Mycobacterium lepraemurium Hawaii
gn:T05535,mboi,Moraxella bovis Epp63 (300)
gn:T05536,mhw,Megasphaera hexanoica MH
gn:T05537,run,Runella sp. HYN0085
gn:T05538,acij,Acidipropionibacterium virtanenii JS278
gn:T05539,auw,Aurantimicrobium sp. MWH-Uga1
gn:T05540,rao,Raoultella sp. X13
gn:T05541,strn,Streptococcus sp. NPS 308
gn:T05542,mthn,Mycolicibacterium thermoresistibile NCTC10409
gn:T05543,llg,Legionella lansingensis NCTC12830
gn:T05544,acet,Acetobacter sp. JWB
gn:T05545,ecan,Enterobacter cancerogenus CR-Eb1
gn:T05546,sbx,Sphingobacteriaceae bacterium GW460-11-11-14-LB5
gn:T05547,aab,Amycolatopsis albispora WP1
gn:T05548,pgp,Paraburkholderia graminis PHS1
gn:T05549,chri,Chromobacterium sp. IIBBL 112-1
gn:T05550,nov,Novosphingobium sp. P6W
gn:T05551,pmut,Paracoccus mutanolyticus RSP-02
gn:T05552,barj,Bartonella sp. JB63
gn:T05553,egl,Echinococcus granulosus
gn:T05554,bmic,Babesia microti RI
gn:T05555,ssck,Sporothrix schenckii 1099-18
gn:T05556,ern,Enterobacter roggenkampii DSM 16690
gn:T05557,haq,Haloplanus sp. CBA1112
gn:T05558,hum,Humibacter sp. BT305
gn:T05559,orn,Ornithinimicrobium sp. AMA3305
gn:T05560,hyf,Ephemeroptericola cinctiostellae F02
gn:T05561,stri,Streptacidiphilus sp. DSM 106435
gn:T05562,kos,Kordia sp. SMS9
gn:T05563,sulz,Sulfitobacter sp. SK012
gn:T05564,mya,Moritella yayanosii DB21MT 5
gn:T05565,minf,Mesotoga infera MESINF1
gn:T05566,ane,Actinomyces naeslundii ATCC 27039
gn:T05567,ssob,Streptococcus sobrinus 10919
gn:T05568,xtw,Xylella taiwanensis PLS235
gn:T05569,vfg,Candidatus Vidania fulgoroideae OLIH
gn:T05570,ocn,Oceanobacillus sp. 160
gn:T05571,rue,Salicibibacter kimchii NKC1-1
gn:T05572,spos,Sporosarcina sp. PTS2304
gn:T05573,bsau,Brachybacterium saurashtrense DSM 23186
gn:T05574,cmin,Corynebacterium minutissimum NCTC10288
gn:T05575,mbah,Moraxellaceae bacterium HYN0046
gn:T05576,abas,Acidisarcina polymorpha SBC82
gn:T05577,mpho,Mycoplasma phocidae 105
gn:T05578,dtr,Candidatus Desulfovibrio trichonymphae Rs-N31
gn:T05579,dwu,Deinococcus wulumuqiensis NEB 479
gn:T05580,ppet,Candidatus Purcelliella pentastirinorum OLIH
gn:T05581,tii,Thalassospira indica PB8BT
gn:T05582,oaq,Olleya aquimaris DAU311
gn:T05583,micb,Micromonospora sp. B006
gn:T05584,geq,Gemella sp. ND 6198
gn:T05585,suli,Sulfitobacter sp. JL08
gn:T05586,lyt,Lysobacter sp. TY2-98
gn:T05587,err,Erythrobacter sp. YH-07
gn:T05588,mmyr,Maritalea myrionectae HL2708#5
gn:T05589,chw,Campylobacter hepaticus HV10
gn:T05590,aul,Auritidibacter sp. NML130574
gn:T05591,sok,Solimonas sp. K1W22B-7
gn:T05592,marf,Mariniflexile sp. TRM1-10
gn:T05593,nag,Natronolimnobius sulfurireducens AArc-Mg
gn:T05594,brn,Breoghania sp. L-A4
gn:T05595,acia,Acidilobus sp. 7A
gn:T05596,rbs,Rhodobiaceae bacterium SMS8
gn:T05597,cec,Cardinium endosymbiont of Sogatella furcifera cSfur
gn:T05598,lmay,Leptospira mayottensis VS2413
gn:T05599,meg,Megasphaera sp. AJH120
gn:T05600,mdl,Microplitis demolitor
gn:T05601,peq,Phalaenopsis equestris
gn:T05602,ccae,Cyanistes caeruleus (blue tit)
gn:T05603,clec,Cimex lectularius Harlan
gn:T05604,ccav,Cynara cardunculus var. scolymus
gn:T05605,otw,Oncorhynchus tshawytscha (Chinook salmon)
gn:T05606,sdu,Seriola dumerili (greater amberjack)
gn:T05607,malb,Monopterus albus (swamp eel)
gn:T05608,kmr,Kryptolebias marmoratus (mangrove rivulus)
gn:T05609,haw,Helicoverpa armigera (cotton bollworm)
gn:T05610,dqu,Dinoponera quadriceps
gn:T05611,pcf,Polistes canadensis
gn:T05612,bfw,Blastomonas fulva T2
gn:T05613,haj,Haloplanus sp. CBA1113
gn:T05614,nan,Natronolimnobius sulfurireducens AArc1
gn:T05615,aqb,Aquimarina sp. BL5
gn:T05616,dey,Dechloromonas sp. HYN0024
gn:T05617,phq,Phaeobacter sp. LSS9
gn:T05618,epe,Erwinia persicina B64
gn:T05619,mara,Marinobacter sp. Arc7-DN-1
gn:T05620,arj,Acinetobacter radioresistens LH6
gn:T05621,fat,Flavobacterium arcticum SM1502
gn:T05622,salg,Shewanella algae CCU101
gn:T05623,lbq,Lonsdalea britannica 477
gn:T05624,salm,Salinimonas sediminis N102
gn:T05625,aqa,Aquimarina sp. AD1
gn:T05626,neo,Neorhizobium sp. SOG26
gn:T05627,rua,Ruegeria sp. AD91A
gn:T05628,cber,Colwellia beringensis NB097-1
gn:T05629,gru,Gordonia rubripertincta CWB2
gn:T05630,htl,Hydrogenophilus thermoluteolus TH-1
gn:T05631,fam,Ferriphaselus amnicola OYT1
gn:T05632,pact,Pontibacter actiniarum DSM 19842
gn:T05633,mtai,Meiothermus taiwanensis WR-220
gn:T05634,ksc,Komagataeibacter saccharivorans CV1
gn:T05635,not,Novosphingobium sp. THN1
gn:T05636,frc,Francisella frigiditurris CA97-1460
gn:T05637,lwi,Listeria weihenstephanensis WS 4560
gn:T05638,mmai,Methylocaldum marinum S8
gn:T05639,lua,Lachnoanaerobaculum umeaense DSM 23576 = CCUG 58757
gn:T05640,pseg,Paraflavitalea soli 5GH32-13
gn:T05641,chk,Chryseolinea soli KIS68-18
gn:T05642,aeb,Aeromicrobium sp. A1-2
gn:T05643,gle,Glaesserella sp. 15-184
gn:T05644,cdj,Carnobacterium divergens TMW 2.1579
gn:T05645,rpu,Ralstonia pseudosolanacearum RS 476
gn:T05646,zpl,Zymobacter palmae IAM14233
gn:T05647,paek,Paenisporosarcina sp. K2R23-3
gn:T05648,ark,Arachidicoccus sp. KIS59-12
gn:T05649,hax,Halobacteriovorax sp. BALOs_7
gn:T05650,nen,Neorhizobium sp. NCHU2750
gn:T05651,mtua,Micromonospora tulbaghiae CNY-010
gn:T05652,abae,Suicoccus acidiformans ZY16052
gn:T05653,alr,Alteromonas sp. RKMC-009
gn:T05654,prq,Providencia sp. WCHPHu000369 WCHPr000369
gn:T05655,bhp,Brachyspira hampsonii NSH-16
gn:T05656,hyh,Hymenobacter oligotrophus sh-6
gn:T05657,mfol,Microbacterium foliorum NRRL B-24224
gn:T05658,pagh,Planktothrix agardhii NIES-204
gn:T05659,aoh,Anaplasma ovis Haibei
gn:T05660,gry,Gryllotalpicola sp. 2DFW10M-5
gn:T05661,lyd,Protaetiibacter intestinalis 2DFWR-13
gn:T05662,mgry,Magnetospirillum gryphiswaldense MSR-1
gn:T05663,cia,Clostridium isatidis DSM 15098
gn:T05664,egv,Enterococcus gilvus CR1
gn:T05665,cmiu,Christensenella minuta DSM 22607
gn:T05666,mfz,Methanosarcina flavescens E03.2
gn:T05667,hpar,Hafnia paralvei FDAARGOS_158
gn:T05668,muh,Mucilaginibacter sp. HYN0043
gn:T05669,rbl,Rhodobacter blasticus 28/5
gn:T05670,btur,Borrelia turcica IST7
gn:T05671,alb,Altererythrobacter sp. B11
gn:T05672,aen,Arsenophonus endosymbiont of Aleurodicus dispersus ARAD
gn:T05673,mhyv,Mycoplasma hyosynoviae M60
gn:T05674,dfc,Deinococcus ficus CC-FR2-10
gn:T05675,pzi,Candidatus Phytoplasma ziziphi Jwb-nky
gn:T05676,buf,Buttiauxella sp. 3AFRM03
gn:T05677,emar,Euzebyella marina RN62
gn:T05678,aaqu,Alcaligenes aquatilis QD168
gn:T05679,chrs,Chryseobacterium sp. 3008163
gn:T05680,acio,Acidovorax sp. 1608163
gn:T05681,rez,Rhizobium esperanzae N561
gn:T05682,bru,Brucella sp. 2002734562
gn:T05683,fki,Flavobacterium kingsejongi WV39
gn:T05684,coq,Commensalibacter sp. AMU001
gn:T05685,sphf,Sphingomonas sp. FARSPH
gn:T05686,lact,Lactococcus sp. 1JSPR-7
gn:T05687,ale,Alteromonas sp. Mac1
gn:T05688,crz,Chromobacterium rhizoryzae JP2-74
gn:T05689,pos,Polaromonas sp. SP1
gn:T05690,rup,Runella sp. SP2
gn:T05691,azd,Azoarcus sp. DN11
gn:T05692,mett,Methanobacterium sp. BRmetb2
gn:T05693,syv,Synechococcus sp. PCC 73109
gn:T05694,metz,Methanothermobacter sp. MT-2
gn:T05695,ric,Rickettsia sp. MEAM1 (Bemisia tabaci)
gn:T05696,coh,Cohnella candidum 18JY8-7
gn:T05697,sutt,Sutterella megalosphaeroides 6FBBBH3
gn:T05698,amah,Aquitalea magnusonii H3
gn:T05699,bui,Burkholderia sp. PAMC 28687
gn:T05700,brq,Bradyrhizobium amphicarpaeae 39S1MB
gn:T05701,plw,Paenibacillus lautus E7593-69
gn:T05702,cfh,Caulobacter flavus RHGG3
gn:T05703,achb,Achromobacter sp. B7
gn:T05704,chrz,Chryseobacterium sp. 6424
gn:T05705,lkm,Leptospira kmetyi LS 001/16
gn:T05706,spha,Sphingomonas sp. YZ-8
gn:T05707,hay,Haemophilus sp. oral taxon 036 F0629
gn:T05708,blck,Blattabacterium sp. (Cryptocercus kyebangensis) CKYod
gn:T05709,cprv,Candidatus Cyclonatronum proteinivorum Omega
gn:T05710,tkr,Tetragenococcus koreensis KCTC 3924
gn:T05711,too,Tetragenococcus osmophilus JCM 31126
gn:T05712,aqd,Aquimarina sp. AD10
gn:T05713,pacd,Propionibacterium acidifaciens FDAARGOS_576
gn:T05714,suld,Sulfitobacter sp. D7
gn:T05715,mhas,Mycolicibacterium hassiacum DSM 44199
gn:T05716,chla,Chlamydia sp. S15-834C
gn:T05717,mshg,Mycobacterium shigaense UN-152
gn:T05718,nei,Neisseria chenwenguii 10023
gn:T05719,pig,Pigmentiphaga sp. H8
gn:T05720,halk,Halomonas alkaliphila X3
gn:T05721,mros,Methylocystis rosea GW6
gn:T05722,gom,Gordonia insulae MMS17-SY073
gn:T05723,pars,Paracoccus sp. SC2-6
gn:T05724,mets,Methylobacterium durans 17SD2-17
gn:T05725,ebu,Enterobacteriaceae bacterium S05
gn:T05726,weo,Wolbachia endosymbiont of Folsomia candida Berlin
gn:T05727,camz,Campylobacter sp. RM12175
gn:T05728,apag,Avibacterium paragallinarum FARPER-174
gn:T05729,nak,Nakamurella sp. s14-144
gn:T05730,cnr,Cloacibacterium normanense NRS-1
gn:T05731,plap,Plantibacter sp. PA-3-X8
gn:T05732,haer,Haloplanus aerogenes JCM 16430
gn:T05733,eri,Erysipelothrix sp. 15TAL0474
gn:T05734,kot,Kosakonia sp. CCTCC M2018092
gn:T05735,mety,Metakosakonia sp. MRY16-398
gn:T05736,ebm,Erysipelotrichaceae bacterium SG0102
gn:T05737,cbar,Clostridiales bacterium 70B-A
gn:T05738,cpau,Cupriavidus pauculus
gn:T05739,thy,Thermococcus sp. P6
gn:T05740,pcj,Paraburkholderia caledonica PHRS4
gn:T05741,ntd,Novosphingobium tardaugens NBRC 16725
gn:T05742,taw,Tabrizicola piscis K13M18
gn:T05743,ask,Arcobacter skirrowii A2S6
gn:T05744,chrb,Chromobacterium sp. IIBBL 274-1
gn:T05745,meto,Methanobacterium sp. BAmetb5
gn:T05746,carh,Chryseobacterium arthrosphaerae FDAARGOS_519
gn:T05747,cer,Cyanobacterium endosymbiont of Rhopalodia gibberula
gn:T05748,bcho,Bifidobacterium choerinum FMB-1
gn:T05749,lbw,Lachnospiraceae bacterium oral taxon 500 W11650
gn:T05750,ren,Rickettsiales endosymbiont of Stachyamoeba lipophora RICK01
gn:T05751,kll,Klebsiella sp. LTGPAF-6F
gn:T05752,fsl,Flaviflexus salsibiostraticola KCTC 33148
gn:T05753,boi,Bosea sp. Tri-49
gn:T05754,upv,Undibacterium parvum DSM 23061
gn:T05755,scan,Serinus canaria (common canary)
gn:T05756,nni,Nipponia nippon (crested ibis)
gn:T05757,tnl,Trichoplusia ni (cabbage looper)
gn:T05758,psom,Papaver somniferum (opium poppy)
gn:T05759,phyp,Pangasianodon hypophthalmus (striped catfish)
gn:T05760,mpha,Monomorium pharaonis (pharaoh ant)
gn:T05761,mesc,Manihot esculenta (cassava)
gn:T05762,salp,Salvelinus alpinus (Arctic char)
gn:T05763,pmur,Protobothrops mucrosquamatus (Taiwan habu)
gn:T05764,cqi,Chenopodium quinoa (quinoa)
gn:T05765,rvi,Candidatus Rickettsiella viridis Ap-RA04
gn:T05766,pleo,Pleomorphomonas sp. SM30
gn:T05767,iod,Iodobacter sp. H11R3
gn:T05768,aft,Anoxybacter fermentans DY22613
gn:T05769,hals,Halocella sp. SP3-1
gn:T05770,halp,Halorubrum sp. PV6
gn:T05771,fll,Flammeovirga pectinis L12M1
gn:T05772,flh,Flaviflexus sp. H23T48
gn:T05773,pdam,Pocillopora damicornis (lace coral)
gn:T05774,spis,Stylophora pistillata
gn:T05775,dpte,Dermatophagoides pteronyssinus (European house dust mite)
gn:T05776,gab,Gossypium arboreum
gn:T05777,acun,Athene cunicularia (burrowing owl)
gn:T05778,obo,Ooceraea biroi (clonal raider ant)
gn:T05779,salo,Silicimonas algicola KC90
gn:T05780,sedi,Sedimentitalea sp. W43
gn:T05781,oen,Oenococcus sp. UCMA 16435
gn:T05782,jeh,Jeotgalibaca ciconiae H21T32
gn:T05783,psub,Pelolinea submarina MO-CFX1
gn:T05784,pfac,Phascolarctobacterium faecium JCM 30894
gn:T05785,buy,Butyricimonas sp. H184
gn:T05786,gak,Glycocaulis alkaliphilus 6B-8
gn:T05787,eee,Electrophorus electricus (electric eel)
gn:T05788,pki,Paramormyrops kingsleyae
gn:T05789,hyo,Hydrogenimonas sp. MAG
gn:T05790,ahn,Atlantibacter hermannii NCTC12129
gn:T05791,chj,Cardiobacterium hominis NCTC10426
gn:T05792,stea,Sporolactobacillus terrae DRG1
gn:T05793,hahe,Hahella sp. KA22
gn:T05794,aev,Aequorivita sp. H23M31
gn:T05795,pus,Pusillimonas sp. ye3
gn:T05796,thio,Thiomicrospira sp. S5
gn:T05797,pcat,Parolsenella catena JCM 31932
gn:T05798,abaw,Georhizobium profundi WS11
gn:T05799,lmir,Lautropia mirabilis NCTC12852
gn:T05800,rpne,Rodentibacter pneumotropicus NCTC8284
gn:T05801,mcys,Mycoavidus cysteinexigens B1-EB
gn:T05802,leu,Leucobacter sp. DSM 101948
gn:T05803,gtl,Geovibrio thiophilus DSM 11263
gn:T05804,vai,Vampirococcus sp. LiM
gn:T05805,spoa,Sporanaerobacter sp. NJN-17
gn:T05806,amij,Aminipila sp. JN-39
gn:T05807,capr,Caproiciproducens sp. NJN-50
gn:T05808,htr,Hydrogenovibrio thermophilus JR-2
gn:T05809,bih,Candidatus Bipolaricaulis sp. Ch78
gn:T05810,clap,Cedecea lapagei NCTC11466
gn:T05811,smic,Sphingosinicella microcystinivorans B9
gn:T05812,pts,Paraburkholderia terricola mHS1
gn:T05813,sacd,Sulfodiicoccus acidiphilus HS-1
gn:T05814,xyl,Xylanimonas allomyrinae 2JSPR-7
